,T0,T1,T2,T3,T5,T4,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
M67,,,,,,,,,,,,,,,,,,,,
M45,,,,,,,,,,,,,,,,,,,,
M3,,,,,,,,,,,,,,,,,,,,
M49,,,,,,,,,,,,,,,,,,,,
M0,,,,,,,,,,,,,,,,,,,,
M16,,,,,,,,,,,,,,,,,,,,
M24,,,,,,,,,,,,,,,,,,,,
M37,,,,,,,,,,,,,,,,,,,,
M34,,,,,,,,,,,,,,,,,,,,
M14,,,,,,,,,,,,,,,,,,,,
M11,,,,,,,,,,,,,,,,,,,,
M12,,,,,,,,,,,,,,,,,,,,
M75,,,,,,,,,,,,,,,,,,,,
M59,,,,,,,,,,,,,,,,,,,,
M66,,,,,,,,,,,,,,,,,,,,
M17,,,,,,,,,,,,,,,,,,,,
M70,,,,,,,,,,,,,,,,,,,,
M23,,,,,,,,,,,,,,,,,,,,
M22,,,,,,,,,,,,,,,,,,,,
M83,,,,,,,,,,,,,,,,,,,,
M71,,,,,,,,,,,,,,,,,,,,
M84,,,,,,,,,,,,,,,,,,,,
M20,,,,,,,,,,,,,,,,,,,,
M73,,,,,,,,,,,,,,,,,,,,
M74,,,,,,,,,,,,,,,,,,,,
M85,,,,,,,,,,,,,,,,,,,,
M1,,,,,,,,,,,,,,,,,,,,
M72,,,,,,,,,,,,,,,,,,,,
M96,,,,,,,,,,,,,,,,,,,,
M91,,,,,,,,,,,,,,,,,,,,
M62,,,,,,,,,,,,,,,,,,,,
M57,,,,,,,,,,,,,,,,,,,,
M40,,,,,,,,,,,,,,,,,,,,
M42,,,,,,,,,,,,,,,,,,,,
M98,,,,,,,,,,,,,,,,,,,,
M10,,,,,,,,,,,,,,,,,,,,
M171,,,,,,,,,,,,,,,,,,,,
M167,,,,,,,,,,,,,,,,,,,,
M103,,,,,,,,,,,,,,,,,,,,
M128,,,,,,,,,,,,,,,,,,,,
M118,,,,,,,,,,,,,,,,,,,,
M101,,,,,,,,,,,,,,,,,,,,
M108,,,,,,,,,,,,,,,,,,,,
M148,,,,,,,,,,,,,,,,,,,,
M155,,,,,,,,,,,,,,,,,,,,
M151,,,,,,,,,,,,,,,,,,,,
M117,,,,,,,,,,,,,,,,,,,,
M187,,,,,,,,,,,,,,,,,,,,
M178,,,,,,,,,,,,,,,,,,,,
M115,,,,,,,,,,,,,,,,,,,,
M186,,,,,,,,,,,,,,,,,,,,
M143,,,,,,,,,,,,,,,,,,,,
M126,,,,,,,,,,,,,,,,,,,,
M112,,,,,,,,,,,,,,,,,,,,
M165,,,,,,,,,,,,,,,,,,,,
M161,,,,,,,,,,,,,,,,,,,,
M195,,,,,,,,,,,,,,,,,,,,
M181,,,,,,,,,,,,,,,,,,,,
M196,,,,,,,,,,,,,,,,,,,,
M134,,,,,,,,,,,,,,,,,,,,
M111,,,,,,,,,,,,,,,,,,,,
M157,,,,,,,,,,,,,,,,,,,,
M159,,,,,,,,,,,,,,,,,,,,
M105,,,,,,,,,,,,,,,,,,,,
M152,,,,,,,,,,,,,,,,,,,,
M119,,,,,,,,,,,,,,,,,,,,
M147,,,,,,,,,,,,,,,,,,,,
M166,,,,,,,,,,,,,,,,,,,,
M176,,,,,,,,,,,,,,,,,,,,
M106,,,,,,,,,,,,,,,,,,,,
M185,,,,,,,,,,,,,,,,,,,,
M160,,,,,,,,,,,,,,,,,,,,
M123,,,,,,,,,,,,,,,,,,,,
M140,,,,,,,,,,,,,,,,,,,,
M141,,,,,,,,,,,,,,,,,,,,
M163,,,,,,,,,,,,,,,,,,,,
M184,,,,,,,,,,,,,,,,,,,,
M175,,,,,,,,,,,,,,,,,,,,
M137,,,,,,,,,,,,,,,,,,,,
M114,,,,,,,,,,,,,,,,,,,,
M146,,,,,,,,,,,,,,,,,,,,
M150,,,,,,,,,,,,,,,,,,,,
M110,,,,,,,,,,,,,,,,,,,,
M192,,,,,,,,,,,,,,,,,,,,
M144,,,,,,,,,,,,,,,,,,,,
M104,,,,,,,,,,,,,,,,,,,,
M198,,,,,,,,,,,,,,,,,,,,
M138,,,,,,,,,,,,,,,,,,,,
M190,,,,,,,,,,,,,,,,,,,,
M124,,,,,,,,,,,,,,,,,,,,
M133,,,,,,,,,,,,,,,,,,,,
M168,,,,,,,,,,,,,,,,,,,,
M197,,,,,,,,,,,,,,,,,,,,
M129,,,,,,,,,,,,,,,,,,,,
M179,,,,,,,,,,,,,,,,,,,,
M191,,,,,,,,,,,,,,,,,,,,
M145,,,,,,,,,,,,,,,,,,,,
M194,,,,,,,,,,,,,,,,,,,,
M189,,,,,,,,,,,,,,,,,,,,
M125,,,,,,,,,,,,,,,,,,,,
M183,,,,,,,,,,,,,,,,,,,,
M131,,,,,,,,,,,,,,,,,,,,
M116,,,,,,,,,,,,,,,,,,,,
M149,,,,,,,,,,,,,,,,,,,,
M158,,,,,,,,,,,,,,,,,,,,
M162,,,,,,,,,,,,,,,,,,,,
M153,,,,,,,,,,,,,,,,,,,,
M135,,,,,,,,,,,,,,,,,,,,
M154,,,,,,,,,,,,,,,,,,,,
M132,,,,,,,,,,,,,,,,,,,,
M169,,,,,,,,,,,,,,,,,,,,
M122,,,,,,,,,,,,,,,,,,,,
M199,,,,,,,,,,,,,,,,,,,,
M121,,,,,,,,,,,,,,,,,,,,
M188,,,,,,,,,,,,,,,,,,,,
M113,,,,,,,,,,,,,,,,,,,,
M136,,,,,,,,,,,,,,,,,,,,
M109,,,,,,,,,,,,,,,,,,,,
M271,,,,,,,,,,,,,,,,,,,,
M221,,,,,,,,,,,,,,,,,,,,
M212,,,,,,,,,,,,,,,,,,,,
M240,,,,,,,,,,,,,,,,,,,,
M277,,,,,,,,,,,,,,,,,,,,
M290,,,,,,,,,,,,,,,,,,,,
M280,,,,,,,,,,,,,,,,,,,,
M215,,,,,,,,,,,,,,,,,,,,
M232,,,,,,,,,,,,,,,,,,,,
M293,,,,,,,,,,,,,,,,,,,,
M213,,,,,,,,,,,,,,,,,,,,
M254,,,,,,,,,,,,,,,,,,,,
M227,,,,,,,,,,,,,,,,,,,,
M264,,,,,,,,,,,,,,,,,,,,
M238,,,,,,,,,,,,,,,,,,,,
M202,,,,,,,,,,,,,,,,,,,,
M250,,,,,,,,,,,,,,,,,,,,
M288,,,,,,,,,,,,,,,,,,,,
M209,,,,,,,,,,,,,,,,,,,,
M236,,,,,,,,,,,,,,,,,,,,
M251,,,,,,,,,,,,,,,,,,,,
M249,,,,,,,,,,,,,,,,,,,,
M297,,,,,,,,,,,,,,,,,,,,
M294,,,,,,,,,,,,,,,,,,,,
M233,,,,,,,,,,,,,,,,,,,,
M282,,,,,,,,,,,,,,,,,,,,
M269,,,,,,,,,,,,,,,,,,,,
M200,,,,,,,,,,,,,,,,,,,,
M235,,,,,,,,,,,,,,,,,,,,
M265,,,,,,,,,,,,,,,,,,,,
M206,,,,,,,,,,,,,,,,,,,,
M296,,,,,,,,,,,,,,,,,,,,
M274,,,,,,,,,,,,,,,,,,,,
M261,,,,,,,,,,,,,,,,,,,,
M267,,,,,,,,,,,,,,,,,,,,
M276,,,,,,,,,,,,,,,,,,,,
M207,,,,,,,,,,,,,,,,,,,,
M253,,,,,,,,,,,,,,,,,,,,
M289,,,,,,,,,,,,,,,,,,,,
M217,,,,,,,,,,,,,,,,,,,,
M225,,,,,,,,,,,,,,,,,,,,
M275,,,,,,,,,,,,,,,,,,,,
M246,,,,,,,,,,,,,,,,,,,,
M299,,,,,,,,,,,,,,,,,,,,
M298,,,,,,,,,,,,,,,,,,,,
M255,,,,,,,,,,,,,,,,,,,,
M295,,,,,,,,,,,,,,,,,,,,
M279,,,,,,,,,,,,,,,,,,,,
M262,,,,,,,,,,,,,,,,,,,,
M285,,,,,,,,,,,,,,,,,,,,
M211,,,,,,,,,,,,,,,,,,,,
M284,,,,,,,,,,,,,,,,,,,,
M272,,,,,,,,,,,,,,,,,,,,
M204,,,,,,,,,,,,,,,,,,,,
M273,,,,,,,,,,,,,,,,,,,,
M287,,,,,,,,,,,,,,,,,,,,
M281,,,,,,,,,,,,,,,,,,,,
M203,,,,,,,,,,,,,,,,,,,,
M270,,,,,,,,,,,,,,,,,,,,
M292,,,,,,,,,,,,,,,,,,,,
M208,,,,,,,,,,,,,,,,,,,,
M247,,,,,,,,,,,,,,,,,,,,
M220,,,,,,,,,,,,,,,,,,,,
M354,,,,,,,,,,,,,,,,,,,,
M323,,,,,,,,,,,,,,,,,,,,
M389,,,,,,,,,,,,,,,,,,,,
M387,,,,,,,,,,,,,,,,,,,,
M352,,,,,,,,,,,,,,,,,,,,
M369,,,,,,,,,,,,,,,,,,,,
M303,,,,,,,,,,,,,,,,,,,,
M344,,,,,,,,,,,,,,,,,,,,
M374,,,,,,,,,,,,,,,,,,,,
M340,,,,,,,,,,,,,,,,,,,,
M347,,,,,,,,,,,,,,,,,,,,
M311,,,,,,,,,,,,,,,,,,,,
M342,,,,,,,,,,,,,,,,,,,,
M348,,,,,,,,,,,,,,,,,,,,
M368,,,,,,,,,,,,,,,,,,,,
M334,,,,,,,,,,,,,,,,,,,,
M300,,,,,,,,,,,,,,,,,,,,
M309,,,,,,,,,,,,,,,,,,,,
M470,,,,,,,,,,,,,,,,,,,,
M404,,,,,,,,,,,,,,,,,,,,
M437,,,,,,,,,,,,,,,,,,,,
M454,,,,,,,,,,,,,,,,,,,,
M415,,,,,,,,,,,,,,,,,,,,
M486,,,,,,,,,,,,,,,,,,,,
M400,,,,,,,,,,,,,,,,,,,,
M461,,,,,,,,,,,,,,,,,,,,
M459,,,,,,,,,,,,,,,,,,,,
M402,,,,,,,,,,,,,,,,,,,,
M417,,,,,,,,,,,,,,,,,,,,
M499,,,,,,,,,,,,,,,,,,,,
M405,,,,,,,,,,,,,,,,,,,,
M495,,,,,,,,,,,,,,,,,,,,
M480,,,,,,,,,,,,,,,,,,,,
M418,,,,,,,,,,,,,,,,,,,,
M422,,,,,,,,,,,,,,,,,,,,
M436,,,,,,,,,,,,,,,,,,,,
M419,,,,,,,,,,,,,,,,,,,,
M489,,,,,,,,,,,,,,,,,,,,
M473,,,,,,,,,,,,,,,,,,,,
M444,,,,,,,,,,,,,,,,,,,,
M441,,,,,,,,,,,,,,,,,,,,
M463,,,,,,,,,,,,,,,,,,,,
M497,,,,,,,,,,,,,,,,,,,,
M428,,,,,,,,,,,,,,,,,,,,
M468,,,,,,,,,,,,,,,,,,,,
M416,,,,,,,,,,,,,,,,,,,,
M449,,,,,,,,,,,,,,,,,,,,
M482,,,,,,,,,,,,,,,,,,,,
M425,,,,,,,,,,,,,,,,,,,,
M467,,,,,,,,,,,,,,,,,,,,
M426,,,,,,,,,,,,,,,,,,,,
M438,,,,,,,,,,,,,,,,,,,,
M464,,,,,,,,,,,,,,,,,,,,
M424,,,,,,,,,,,,,,,,,,,,
M456,,,,,,,,,,,,,,,,,,,,
M483,,,,,,,,,,,,,,,,,,,,
M481,,,,,,,,,,,,,,,,,,,,
M411,,,,,,,,,,,,,,,,,,,,
M414,,,,,,,,,,,,,,,,,,,,
M432,,,,,,,,,,,,,,,,,,,,
M412,,,,,,,,,,,,,,,,,,,,
M469,,,,,,,,,,,,,,,,,,,,
M492,,,,,,,,,,,,,,,,,,,,
M458,,,,,,,,,,,,,,,,,,,,
M442,,,,,,,,,,,,,,,,,,,,
M474,,,,,,,,,,,,,,,,,,,,
M445,,,,,,,,,,,,,,,,,,,,
M452,,,,,,,,,,,,,,,,,,,,
M427,,,,,,,,,,,,,,,,,,,,
M439,,,,,,,,,,,,,,,,,,,,
M466,,,,,,,,,,,,,,,,,,,,
M485,,,,,,,,,,,,,,,,,,,,
M488,,,,,,,,,,,,,,,,,,,,
M403,,,,,,,,,,,,,,,,,,,,
M471,,,,,,,,,,,,,,,,,,,,
M431,,,,,,,,,,,,,,,,,,,,
M493,,,,,,,,,,,,,,,,,,,,
M477,,,,,,,,,,,,,,,,,,,,
M476,,,,,,,,,,,,,,,,,,,,
M455,,,,,,,,,,,,,,,,,,,,
M447,,,,,,,,,,,,,,,,,,,,
M435,,,,,,,,,,,,,,,,,,,,
M448,,,,,,,,,,,,,,,,,,,,
M434,,,,,,,,,,,,,,,,,,,,
M423,,,,,,,,,,,,,,,,,,,,
M429,,,,,,,,,,,,,,,,,,,,
M410,,,,,,,,,,,,,,,,,,,,
M586,,,,,,,,,,,,,,,,,,,,
M571,,,,,,,,,,,,,,,,,,,,
M541,,,,,,,,,,,,,,,,,,,,
M509,,,,,,,,,,,,,,,,,,,,
M558,,,,,,,,,,,,,,,,,,,,
M546,,,,,,,,,,,,,,,,,,,,
M516,,,,,,,,,,,,,,,,,,,,
M533,,,,,,,,,,,,,,,,,,,,
M588,,,,,,,,,,,,,,,,,,,,
M549,,,,,,,,,,,,,,,,,,,,
M515,,,,,,,,,,,,,,,,,,,,
M512,,,,,,,,,,,,,,,,,,,,
M592,,,,,,,,,,,,,,,,,,,,
M572,,,,,,,,,,,,,,,,,,,,
M587,,,,,,,,,,,,,,,,,,,,
M563,,,,,,,,,,,,,,,,,,,,
M598,,,,,,,,,,,,,,,,,,,,
M528,,,,,,,,,,,,,,,,,,,,
M507,,,,,,,,,,,,,,,,,,,,
M552,,,,,,,,,,,,,,,,,,,,
M579,,,,,,,,,,,,,,,,,,,,
M538,,,,,,,,,,,,,,,,,,,,
M569,,,,,,,,,,,,,,,,,,,,
M511,,,,,,,,,,,,,,,,,,,,
M574,,,,,,,,,,,,,,,,,,,,
M529,,,,,,,,,,,,,,,,,,,,
M501,,,,,,,,,,,,,,,,,,,,
M595,,,,,,,,,,,,,,,,,,,,
M561,,,,,,,,,,,,,,,,,,,,
M524,,,,,,,,,,,,,,,,,,,,
M508,,,,,,,,,,,,,,,,,,,,
M556,,,,,,,,,,,,,,,,,,,,
M534,,,,,,,,,,,,,,,,,,,,
M584,,,,,,,,,,,,,,,,,,,,
M547,,,,,,,,,,,,,,,,,,,,
M523,,,,,,,,,,,,,,,,,,,,
M550,,,,,,,,,,,,,,,,,,,,
M504,,,,,,,,,,,,,,,,,,,,
M596,,,,,,,,,,,,,,,,,,,,
M526,,,,,,,,,,,,,,,,,,,,
M505,,,,,,,,,,,,,,,,,,,,
M603,,,,,,,,,,,,,,,,,,,,
M643,,,,,,,,,,,,,,,,,,,,
M632,,,,,,,,,,,,,,,,,,,,
M608,,,,,,,,,,,,,,,,,,,,
M681,,,,,,,,,,,,,,,,,,,,
M634,,,,,,,,,,,,,,,,,,,,
M651,,,,,,,,,,,,,,,,,,,,
M689,,,,,,,,,,,,,,,,,,,,
M648,,,,,,,,,,,,,,,,,,,,
M631,,,,,,,,,,,,,,,,,,,,
M695,,,,,,,,,,,,,,,,,,,,
M694,,,,,,,,,,,,,,,,,,,,
M615,,,,,,,,,,,,,,,,,,,,
M667,,,,,,,,,,,,,,,,,,,,
M672,,,,,,,,,,,,,,,,,,,,
M675,,,,,,,,,,,,,,,,,,,,
M674,,,,,,,,,,,,,,,,,,,,
M658,,,,,,,,,,,,,,,,,,,,
M647,,,,,,,,,,,,,,,,,,,,
M637,,,,,,,,,,,,,,,,,,,,
M671,,,,,,,,,,,,,,,,,,,,
M609,,,,,,,,,,,,,,,,,,,,
M653,,,,,,,,,,,,,,,,,,,,
M635,,,,,,,,,,,,,,,,,,,,
M626,,,,,,,,,,,,,,,,,,,,
M698,,,,,,,,,,,,,,,,,,,,
M652,,,,,,,,,,,,,,,,,,,,
M772,,,,,,,,,,,,,,,,,,,,
M701,,,,,,,,,,,,,,,,,,,,
M740,,,,,,,,,,,,,,,,,,,,
M785,,,,,,,,,,,,,,,,,,,,
M728,,,,,,,,,,,,,,,,,,,,
M746,,,,,,,,,,,,,,,,,,,,
M779,,,,,,,,,,,,,,,,,,,,
M774,,,,,,,,,,,,,,,,,,,,
M764,,,,,,,,,,,,,,,,,,,,
M795,,,,,,,,,,,,,,,,,,,,
M726,,,,,,,,,,,,,,,,,,,,
M760,,,,,,,,,,,,,,,,,,,,
M706,,,,,,,,,,,,,,,,,,,,
M759,,,,,,,,,,,,,,,,,,,,
M770,,,,,,,,,,,,,,,,,,,,
M711,,,,,,,,,,,,,,,,,,,,
M725,,,,,,,,,,,,,,,,,,,,
M753,,,,,,,,,,,,,,,,,,,,
M754,,,,,,,,,,,,,,,,,,,,
M713,,,,,,,,,,,,,,,,,,,,
M705,,,,,,,,,,,,,,,,,,,,
M708,,,,,,,,,,,,,,,,,,,,
M763,,,,,,,,,,,,,,,,,,,,
M703,,,,,,,,,,,,,,,,,,,,
M737,,,,,,,,,,,,,,,,,,,,
M722,,,,,,,,,,,,,,,,,,,,
M780,,,,,,,,,,,,,,,,,,,,
M767,,,,,,,,,,,,,,,,,,,,
M724,,,,,,,,,,,,,,,,,,,,
M741,,,,,,,,,,,,,,,,,,,,
M736,,,,,,,,,,,,,,,,,,,,
M766,,,,,,,,,,,,,,,,,,,,
M793,,,,,,,,,,,,,,,,,,,,
M707,,,,,,,,,,,,,,,,,,,,
M727,,,,,,,,,,,,,,,,,,,,
M761,,,,,,,,,,,,,,,,,,,,
M744,,,,,,,,,,,,,,,,,,,,
M791,,,,,,,,,,,,,,,,,,,,
M768,,,,,,,,,,,,,,,,,,,,
M775,,,,,,,,,,,,,,,,,,,,
M778,,,,,,,,,,,,,,,,,,,,
M717,,,,,,,,,,,,,,,,,,,,
M781,,,,,,,,,,,,,,,,,,,,
