,T0,T4,T2,T3,T1,T5,T6,T8,T7,T9,T10,T14,T13,T12,T11,T15,T19,T17,T16,T18,T20,T23,T24,T21,T22,T25,T26,T28,T29,T27,T30,T31,T32,T34,T33,T35,T36,T39,T37,T38
M411,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
M483,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
M465,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
M488,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,
M431,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
M453,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
M445,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
M407,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
M472,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
M446,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
M418,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
M471,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
M469,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
M444,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
M428,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
M459,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
M408,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
M473,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
M568,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
M553,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,
M506,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
M569,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
M549,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
M588,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
M526,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
M504,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
M562,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
M513,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
M584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
M595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
M505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
M536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
M572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
M567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
M557,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
M511,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
M598,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
M543,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
M544,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
M539,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
M592,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
M519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
M648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,
M699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
M622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,
M647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,
M659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
M649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,
M603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
M662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,
M623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
M652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
M665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
M653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
M679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
M685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
M688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
M663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
M645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
M684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
M602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
M614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
M618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
M620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
M696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
M668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
M693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
M638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
M747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
M727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
M710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
M706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
M761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
M743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
M734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
M795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,
M774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
M784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
M766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
M779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
M700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
M777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
M767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
M731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
M703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
M713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
M9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
