,T0,T1,T4,T2,T3,T5,T9,T6,T8,T7,T10,T12,T14,T13,T11,T15,T16,T18,T19,T17,T20,T22,T24,T21,T23,T25,T29,T26,T28,T27,T30,T31,T34,T33,T32,T35,T36,T37,T39,T38
M27,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
M35,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
M50,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
M39,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
M49,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
M43,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
M41,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
M44,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
M60,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
M56,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,
M57,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
M61,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,
M53,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
M62,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
M58,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
M63,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
M52,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
M59,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
M54,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
M68,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
M70,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
M72,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,
M66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
M73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
M71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
M75,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
M65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
M67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
M76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,
M79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
M86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,
M87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
M78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,
M81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
M83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
M82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
M80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
M93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,
M98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0
M95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
M97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0
M92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
M89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
M9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
