,T0,T1,T2,T3,T5,T4,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
M37,,,,,,,,,,,,,,,,,,,,
M2,,,,,,,,,,,,,,,,,,,,
M20,,,,,,,,,,,,,,,,,,,,
M23,,,,,,,,,,,,,,,,,,,,
M17,,,,,,,,,,,,,,,,,,,,
M42,,,,,,,,,,,,,,,,,,,,
M36,,,,,,,,,,,,,,,,,,,,
M1,,,,,,,,,,,,,,,,,,,,
M39,,,,,,,,,,,,,,,,,,,,
M30,,,,,,,,,,,,,,,,,,,,
M13,,,,,,,,,,,,,,,,,,,,
M8,,,,,,,,,,,,,,,,,,,,
M49,,,,,,,,,,,,,,,,,,,,
M28,,,,,,,,,,,,,,,,,,,,
M11,,,,,,,,,,,,,,,,,,,,
M7,,,,,,,,,,,,,,,,,,,,
M29,,,,,,,,,,,,,,,,,,,,
M69,,,,,,,,,,,,,,,,,,,,
M93,,,,,,,,,,,,,,,,,,,,
M98,,,,,,,,,,,,,,,,,,,,
M90,,,,,,,,,,,,,,,,,,,,
M97,,,,,,,,,,,,,,,,,,,,
M72,,,,,,,,,,,,,,,,,,,,
M96,,,,,,,,,,,,,,,,,,,,
M71,,,,,,,,,,,,,,,,,,,,
M84,,,,,,,,,,,,,,,,,,,,
M77,,,,,,,,,,,,,,,,,,,,
M99,,,,,,,,,,,,,,,,,,,,
M55,,,,,,,,,,,,,,,,,,,,
M58,,,,,,,,,,,,,,,,,,,,
M60,,,,,,,,,,,,,,,,,,,,
M56,,,,,,,,,,,,,,,,,,,,
M89,,,,,,,,,,,,,,,,,,,,
M70,,,,,,,,,,,,,,,,,,,,
M66,,,,,,,,,,,,,,,,,,,,
M78,,,,,,,,,,,,,,,,,,,,
M83,,,,,,,,,,,,,,,,,,,,
M75,,,,,,,,,,,,,,,,,,,,
M91,,,,,,,,,,,,,,,,,,,,
M59,,,,,,,,,,,,,,,,,,,,
M87,,,,,,,,,,,,,,,,,,,,
M81,,,,,,,,,,,,,,,,,,,,
M85,,,,,,,,,,,,,,,,,,,,
M79,,,,,,,,,,,,,,,,,,,,
M107,,,,,,,,,,,,,,,,,,,,
M129,,,,,,,,,,,,,,,,,,,,
M135,,,,,,,,,,,,,,,,,,,,
M119,,,,,,,,,,,,,,,,,,,,
M111,,,,,,,,,,,,,,,,,,,,
M147,,,,,,,,,,,,,,,,,,,,
M127,,,,,,,,,,,,,,,,,,,,
M108,,,,,,,,,,,,,,,,,,,,
M114,,,,,,,,,,,,,,,,,,,,
M145,,,,,,,,,,,,,,,,,,,,
M128,,,,,,,,,,,,,,,,,,,,
M148,,,,,,,,,,,,,,,,,,,,
M138,,,,,,,,,,,,,,,,,,,,
M143,,,,,,,,,,,,,,,,,,,,
M139,,,,,,,,,,,,,,,,,,,,
M130,,,,,,,,,,,,,,,,,,,,
M102,,,,,,,,,,,,,,,,,,,,
M126,,,,,,,,,,,,,,,,,,,,
M113,,,,,,,,,,,,,,,,,,,,
M109,,,,,,,,,,,,,,,,,,,,
M134,,,,,,,,,,,,,,,,,,,,
M131,,,,,,,,,,,,,,,,,,,,
M100,,,,,,,,,,,,,,,,,,,,
M123,,,,,,,,,,,,,,,,,,,,
M118,,,,,,,,,,,,,,,,,,,,
M121,,,,,,,,,,,,,,,,,,,,
M146,,,,,,,,,,,,,,,,,,,,
M105,,,,,,,,,,,,,,,,,,,,
M110,,,,,,,,,,,,,,,,,,,,
M125,,,,,,,,,,,,,,,,,,,,
M142,,,,,,,,,,,,,,,,,,,,
M132,,,,,,,,,,,,,,,,,,,,
M112,,,,,,,,,,,,,,,,,,,,
M103,,,,,,,,,,,,,,,,,,,,
M115,,,,,,,,,,,,,,,,,,,,
M122,,,,,,,,,,,,,,,,,,,,
M136,,,,,,,,,,,,,,,,,,,,
M124,,,,,,,,,,,,,,,,,,,,
M133,,,,,,,,,,,,,,,,,,,,
M175,,,,,,,,,,,,,,,,,,,,
M154,,,,,,,,,,,,,,,,,,,,
M176,,,,,,,,,,,,,,,,,,,,
M191,,,,,,,,,,,,,,,,,,,,
M180,,,,,,,,,,,,,,,,,,,,
M174,,,,,,,,,,,,,,,,,,,,
M171,,,,,,,,,,,,,,,,,,,,
M173,,,,,,,,,,,,,,,,,,,,
M158,,,,,,,,,,,,,,,,,,,,
M169,,,,,,,,,,,,,,,,,,,,
M152,,,,,,,,,,,,,,,,,,,,
M168,,,,,,,,,,,,,,,,,,,,
M159,,,,,,,,,,,,,,,,,,,,
M196,,,,,,,,,,,,,,,,,,,,
M156,,,,,,,,,,,,,,,,,,,,
M185,,,,,,,,,,,,,,,,,,,,
M194,,,,,,,,,,,,,,,,,,,,
M182,,,,,,,,,,,,,,,,,,,,
M179,,,,,,,,,,,,,,,,,,,,
M162,,,,,,,,,,,,,,,,,,,,
M161,,,,,,,,,,,,,,,,,,,,
M183,,,,,,,,,,,,,,,,,,,,
M188,,,,,,,,,,,,,,,,,,,,
M163,,,,,,,,,,,,,,,,,,,,
M160,,,,,,,,,,,,,,,,,,,,
M181,,,,,,,,,,,,,,,,,,,,
M170,,,,,,,,,,,,,,,,,,,,
M198,,,,,,,,,,,,,,,,,,,,
M167,,,,,,,,,,,,,,,,,,,,
M197,,,,,,,,,,,,,,,,,,,,
M189,,,,,,,,,,,,,,,,,,,,
M151,,,,,,,,,,,,,,,,,,,,
M186,,,,,,,,,,,,,,,,,,,,
M153,,,,,,,,,,,,,,,,,,,,
M204,,,,,,,,,,,,,,,,,,,,
M247,,,,,,,,,,,,,,,,,,,,
M231,,,,,,,,,,,,,,,,,,,,
M227,,,,,,,,,,,,,,,,,,,,
M207,,,,,,,,,,,,,,,,,,,,
M241,,,,,,,,,,,,,,,,,,,,
M240,,,,,,,,,,,,,,,,,,,,
M214,,,,,,,,,,,,,,,,,,,,
M209,,,,,,,,,,,,,,,,,,,,
M245,,,,,,,,,,,,,,,,,,,,
M218,,,,,,,,,,,,,,,,,,,,
M222,,,,,,,,,,,,,,,,,,,,
M238,,,,,,,,,,,,,,,,,,,,
M217,,,,,,,,,,,,,,,,,,,,
M206,,,,,,,,,,,,,,,,,,,,
M237,,,,,,,,,,,,,,,,,,,,
M235,,,,,,,,,,,,,,,,,,,,
M236,,,,,,,,,,,,,,,,,,,,
M211,,,,,,,,,,,,,,,,,,,,
M230,,,,,,,,,,,,,,,,,,,,
M212,,,,,,,,,,,,,,,,,,,,
M239,,,,,,,,,,,,,,,,,,,,
M225,,,,,,,,,,,,,,,,,,,,
M226,,,,,,,,,,,,,,,,,,,,
M208,,,,,,,,,,,,,,,,,,,,
M234,,,,,,,,,,,,,,,,,,,,
M210,,,,,,,,,,,,,,,,,,,,
M246,,,,,,,,,,,,,,,,,,,,
M248,,,,,,,,,,,,,,,,,,,,
M274,,,,,,,,,,,,,,,,,,,,
M284,,,,,,,,,,,,,,,,,,,,
M250,,,,,,,,,,,,,,,,,,,,
M258,,,,,,,,,,,,,,,,,,,,
M260,,,,,,,,,,,,,,,,,,,,
M298,,,,,,,,,,,,,,,,,,,,
M264,,,,,,,,,,,,,,,,,,,,
M296,,,,,,,,,,,,,,,,,,,,
M278,,,,,,,,,,,,,,,,,,,,
M263,,,,,,,,,,,,,,,,,,,,
M276,,,,,,,,,,,,,,,,,,,,
M295,,,,,,,,,,,,,,,,,,,,
M299,,,,,,,,,,,,,,,,,,,,
M288,,,,,,,,,,,,,,,,,,,,
M267,,,,,,,,,,,,,,,,,,,,
M253,,,,,,,,,,,,,,,,,,,,
M257,,,,,,,,,,,,,,,,,,,,
M292,,,,,,,,,,,,,,,,,,,,
M261,,,,,,,,,,,,,,,,,,,,
M297,,,,,,,,,,,,,,,,,,,,
M291,,,,,,,,,,,,,,,,,,,,
M283,,,,,,,,,,,,,,,,,,,,
M282,,,,,,,,,,,,,,,,,,,,
M273,,,,,,,,,,,,,,,,,,,,
M252,,,,,,,,,,,,,,,,,,,,
M275,,,,,,,,,,,,,,,,,,,,
M251,,,,,,,,,,,,,,,,,,,,
M268,,,,,,,,,,,,,,,,,,,,
M294,,,,,,,,,,,,,,,,,,,,
M290,,,,,,,,,,,,,,,,,,,,
M279,,,,,,,,,,,,,,,,,,,,
M269,,,,,,,,,,,,,,,,,,,,
M286,,,,,,,,,,,,,,,,,,,,
M271,,,,,,,,,,,,,,,,,,,,
M287,,,,,,,,,,,,,,,,,,,,
M266,,,,,,,,,,,,,,,,,,,,
M256,,,,,,,,,,,,,,,,,,,,
M262,,,,,,,,,,,,,,,,,,,,
M277,,,,,,,,,,,,,,,,,,,,
M254,,,,,,,,,,,,,,,,,,,,
M320,,,,,,,,,,,,,,,,,,,,
M304,,,,,,,,,,,,,,,,,,,,
M301,,,,,,,,,,,,,,,,,,,,
M330,,,,,,,,,,,,,,,,,,,,
M327,,,,,,,,,,,,,,,,,,,,
M312,,,,,,,,,,,,,,,,,,,,
M314,,,,,,,,,,,,,,,,,,,,
M341,,,,,,,,,,,,,,,,,,,,
M329,,,,,,,,,,,,,,,,,,,,
M328,,,,,,,,,,,,,,,,,,,,
M342,,,,,,,,,,,,,,,,,,,,
M326,,,,,,,,,,,,,,,,,,,,
M335,,,,,,,,,,,,,,,,,,,,
M344,,,,,,,,,,,,,,,,,,,,
M322,,,,,,,,,,,,,,,,,,,,
M308,,,,,,,,,,,,,,,,,,,,
M302,,,,,,,,,,,,,,,,,,,,
M340,,,,,,,,,,,,,,,,,,,,
M347,,,,,,,,,,,,,,,,,,,,
M303,,,,,,,,,,,,,,,,,,,,
M334,,,,,,,,,,,,,,,,,,,,
M323,,,,,,,,,,,,,,,,,,,,
M331,,,,,,,,,,,,,,,,,,,,
M309,,,,,,,,,,,,,,,,,,,,
M336,,,,,,,,,,,,,,,,,,,,
M346,,,,,,,,,,,,,,,,,,,,
M333,,,,,,,,,,,,,,,,,,,,
M338,,,,,,,,,,,,,,,,,,,,
M319,,,,,,,,,,,,,,,,,,,,
M305,,,,,,,,,,,,,,,,,,,,
M362,,,,,,,,,,,,,,,,,,,,
M356,,,,,,,,,,,,,,,,,,,,
M394,,,,,,,,,,,,,,,,,,,,
M376,,,,,,,,,,,,,,,,,,,,
M380,,,,,,,,,,,,,,,,,,,,
M399,,,,,,,,,,,,,,,,,,,,
M355,,,,,,,,,,,,,,,,,,,,
M360,,,,,,,,,,,,,,,,,,,,
M378,,,,,,,,,,,,,,,,,,,,
M375,,,,,,,,,,,,,,,,,,,,
M387,,,,,,,,,,,,,,,,,,,,
M361,,,,,,,,,,,,,,,,,,,,
M368,,,,,,,,,,,,,,,,,,,,
M391,,,,,,,,,,,,,,,,,,,,
M386,,,,,,,,,,,,,,,,,,,,
M385,,,,,,,,,,,,,,,,,,,,
M392,,,,,,,,,,,,,,,,,,,,
M365,,,,,,,,,,,,,,,,,,,,
M357,,,,,,,,,,,,,,,,,,,,
M369,,,,,,,,,,,,,,,,,,,,
M372,,,,,,,,,,,,,,,,,,,,
M390,,,,,,,,,,,,,,,,,,,,
