,class,selectivity
192,goose,0.002
193,cowboy_hat,0.002
194,goat,0.002
195,coin,0.002
196,tea,0.002
197,rabbit,0.002
198,shark,0.002
199,potato,0.002
200,violin,0.002
201,fedora,0.002
202,french_fries,0.002
203,egg_(food),0.002
204,camera,0.002
205,mule,0.002
206,couch,0.002
207,beetle,0.002
208,eagle,0.002
209,goggles,0.002
210,wine_glass,0.002
211,computer_keyboard,0.002
212,hamburger,0.002
213,french_horn,0.002
214,lantern,0.002
215,lion,0.002
216,fork,0.002
217,barrel,0.002
218,hamster,0.002
219,bow_and_arrow,0.002
220,doughnut,0.002
221,sink,0.002
222,magpie,0.002
223,necklace,0.002
224,radish,0.002
225,marine_invertebrates,0.002
226,antelope,0.002
227,kangaroo,0.002
228,raven,0.002
229,flag,0.002
230,chicken,0.002
231,coffee,0.002
232,studio_couch,0.002
233,rays_and_skates,0.002
234,candle,0.002
235,saucer,0.002
236,bee,0.002
237,tin_can,0.002
238,shellfish,0.002
239,doll,0.002
240,grape,0.002
241,bell_pepper,0.002
242,office_building,0.002
243,football,0.002
244,brassiere,0.002
245,coffee_table,0.001
246,jug,0.001
247,castle,0.001
248,ipod,0.001
249,submarine_sandwich,0.001
250,lobster,0.001
251,saxophone,0.001
252,bear,0.001
253,marine_mammal,0.001
254,butterfly,0.001
255,milk,0.001
256,lynx,0.001
257,crab,0.001
258,spider,0.001
259,common_sunflower,0.001
260,snake,0.001
261,oboe,0.001
262,racket,0.001
263,gondola,0.001
264,fountain,0.001
265,brown_bear,0.001
266,swan,0.001
267,miniskirt,0.001
268,sewing_machine,0.001
269,carrot,0.001
270,dinosaur,0.001
271,bowl,0.001
272,tv,0.001
273,umbrella,0.001
274,waste_container,0.001
275,squirrel,0.001
276,harp,0.001
277,bronze_sculpture,0.001
278,spice_rack,0.001
279,billboard,0.001
280,turkey,0.001
281,caterpillar,0.001
282,dolphin,0.001
283,plastic_bag,0.001
284,nightstand,0.001
285,earrings,0.001
286,coffeemaker,0.001
287,sea_lion,0.001
288,snail,0.001
289,cello,0.001
290,leopard,0.001
291,mango,0.001
292,balloon,0.001
293,tent,0.001
294,otter,0.001
295,skirt,0.001
296,dice,0.001
297,loveseat,0.001
298,handbag,0.001
299,shotgun,0.001
300,pillow,0.001
301,cassette_deck,0.001
302,snowboard,0.001
303,watch,0.001
304,musical_keyboard,0.001
305,seahorse,0.001
306,apple,0.001
307,luggage_and_bags,0.001
308,plate,0.001
309,traffic_light,0.001
310,ambulance,0.001
311,porcupine,0.001
312,reptile,0.001
313,shirt,0.001
314,suitcase,0.001
315,bust,0.001
316,tennis_racket,0.001
317,corded_phone,0.001
318,stairs,0.001
319,cream,0.001
320,glove,0.001
321,knife,0.001
322,billiard_table,0.001
323,backpack,0.001
324,harbor_seal,0.001
325,frog,0.001
326,kite,0.001
327,wok,0.001
328,toothbrush,0.001
329,camel,0.001
330,falcon,0.001
331,limousine,0.001
332,bagel,0.001
333,burrito,0.001
334,stool,0.001
335,tripod,0.001
336,crocodile,0.001
337,polar_bear,0.001
338,taxi,0.001
339,frying_pan,0.001
340,scarf,0.001
341,clock,0.001
342,bed,0.001
343,wardrobe,0.001
344,banana,0.001
345,dragonfly,0.001
346,cosmetics,0.001
347,guacamole,0.001
348,crown,0.001
349,jellyfish,0.001
350,mirror,0.001
351,sun_hat,0.001
352,cabbage,0.001
353,tank,0.001
354,hiking_equipment,0.001
355,jet_ski,0.001
356,lipstick,0.001
357,fax,0.001
358,canary,0.001
359,tap,0.001
360,tree_house,0.001
361,mug,0.001
362,wall_clock,0.001
363,alpaca,0.001
364,fireplace,0.001
365,penguin,0.001
366,coconut,0.001
367,stop_sign,0.001
368,wood-burning_stove,0.001
369,kitchen_&_dining_room_table,0.001
370,sea_turtle,0.001
371,tortoise,0.001
372,fox,0.001
373,ostrich,0.001
374,harpsichord,0.001
375,filing_cabinet,0.001
376,pomegranate,0.001
377,maple,0.001
378,organ_(musical_instrument),0.001
379,whale,0.001
380,lamp,0.001
381,washing_machine,0.001
382,missile,0.001
383,personal_care,0.001
384,light_bulb,0.001
385,porch,0.001
386,picture_frame,0.001
387,elephant,0.001
388,toilet,0.001
389,coat,0.001
390,watermelon,0.001
391,croissant,0.001
392,baseball_glove,0.001
393,scorpion,0.001
394,hippopotamus,0.001
395,teapot,0.001
396,swim_cap,0.001
397,mixer,0.001
398,duck,0.001
399,refrigerator,0.001
400,table_tennis_racket,0.001
401,trombone,0.001
402,blue_jay,0.001
403,skull,0.001
404,owl,0.0
405,scale,0.0
406,pretzel,0.0
407,barge,0.0
408,waffle,0.0
409,tablet_computer,0.0
410,salt_and_pepper_shakers,0.0
411,rhinoceros,0.0
412,rocket,0.0
413,food_processor,0.0
414,jaguar_(animal),0.0
415,flashlight,0.0
416,picnic_basket,0.0
417,headphones,0.0
418,lighthouse,0.0
419,perfume,0.0
420,gas_stove,0.0
421,sword,0.0
422,red_panda,0.0
423,rugby_ball,0.0
424,stationary_bicycle,0.0
425,hedgehog,0.0
426,squid,0.0
427,accordion,0.0
428,moths_and_butterflies,0.0
429,woodpecker,0.0
430,zebra,0.0
431,banjo,0.0
432,toaster,0.0
433,golf_ball,0.0
434,peach,0.0
435,remote_control,0.0
436,ant,0.0
437,worm,0.0
438,hot_dog,0.0
439,dagger,0.0
440,tick,0.0
441,cantaloupe,0.0
442,briefcase,0.0
443,window_blind,0.0
444,scoreboard,0.0
445,stretcher,0.0
446,power_plugs_and_sockets,0.0
447,bathroom_cabinet,0.0
448,chopsticks,0.0
449,pitcher_(container),0.0
450,fire_hydrant,0.0
451,popcorn,0.0
452,volleyball_(ball),0.0
453,microwave_oven,0.0
454,kitchen_knife,0.0
455,cannon,0.0
456,handgun,0.0
457,envelope,0.0
458,calculator,0.0
459,flute,0.0
460,baseball_bat,0.0
461,tiger,0.0
462,screwdriver,0.0
463,christmas_tree,0.0
464,pear,0.0
465,oven,0.0
466,snowplow,0.0
467,koala,0.0
468,isopod,0.0
469,submarine,0.0
470,pumpkin,0.0
471,printer,0.0
472,mechanical_fan,0.0
473,sombrero,0.0
474,blender,0.0
475,sock,0.0
476,closet,0.0
477,cake_stand,0.0
478,light_switch,0.0
479,tiara,0.0
480,jacuzzi,0.0
481,platter,0.0
482,infant_bed,0.0
483,willow,0.0
484,squash_(plant),0.0
485,bathtub,0.0
486,golf_cart,0.0
487,giraffe,0.0
488,plumbing_fixture,0.0
489,raccoon,0.0
490,centipede,0.0
491,whiteboard,0.0
492,cutting_board,0.0
493,pineapple,0.0
494,heater,0.0
495,ceiling_fan,0.0
496,balance_beam,0.0
497,bidet,0.0
498,alarm_clock,0.0
499,wine_rack,0.0
